videoId,titulo,canal,canal_id,fecha_publicacion,descripcion,palabra_clave,vistas,likes,comentarios,duracion_segundos,es_para_ninos,suscriptores_canal
TC5t6QugzzA,PROBLEMA DE ECUACIONES CUADRÁTICAS. Corrección a @danielcarreon,Matemáticas con Juan,UCb40x1kRqrq7---i14VaA-A,2021-09-19T23:03:51Z,Problema de ecuaciones cuadráticas o de segundo grado que ha sido resuelto en el canal de Daniel Carreón con algunos ...,álgebra,4380967,134887,21776,933.0,False,1790000
FboTr4foiJE,APRENDE ÁLGEBRA DESDE CERO. Curso completo,Matemáticas con Juan,UCb40x1kRqrq7---i14VaA-A,2020-05-01T11:35:20Z,"El álgebra desde cero. Después de estudiar en detalle como funcionan las sumas, restas, multiplicaciones, divisiones de ...",álgebra,4259065,174089,5036,8548.0,False,1790000
8rT0DZbYGEs,ECUACIONES LINEALES Super facil para principiantes,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2021-02-25T16:00:01Z,Hoy les enseño como resolver ecuaciones lineales o ecuaciones de primer grado super faciñ para principiantes. ¿como resolver ...,álgebra,3647385,94771,4231,448.0,False,9300000
PinQ_uU3pKM,The Hardest Problem on the SAT📚 | Algebra | Math,Justice Shepard,UC4UdwOtQsRxmhwkfTQXF5Qg,2022-04-15T02:49:55Z,,álgebra,3545218,140074,2432,31.0,False,540000
i7MZpiRht2E,EXPRESSÕES ALGÉBRICAS - Aula 1 - Definição de expressões algébricas,Gis com Giz Matemática,UCCTHtVMXy9gQA8X_HOEJA2A,2020-03-24T14:58:37Z,EXPRESSÕES ALGÉBRICAS ✓Nesse vídeo você vai aprender o que é uma EXPRESSÃO ALGÉBRICA. Uma expressão ...,álgebra,3211598,158708,6688,784.0,False,5170000
edE5Y1kOgFw,GRAFICAR FUNCIONES LINEALES PARTE 1,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2022-03-09T18:00:12Z,"Hola, aqui te dejo este video en donde te explico como graficar funciones lineales super facil, ideal para principiantes, ...",álgebra,3133321,77620,3343,381.0,False,9300000
LkhPRz7Hocg,Algebra Basics: Laws Of Exponents - Math Antics,mathantics,UCBuMwlP7kHkNxdPAqtFSJTw,2020-11-23T21:59:36Z,This is a re-upload to correct a minor math typo. Learn More at mathantics.com Visit http://www.mathantics.com for more Free math ...,álgebra,3110881,61989,0,826.0,True,3580000
TLh_6G7i4_w,ANÁLISIS MATEMÁTICO para pensar - Lic. María Inés Baragatti - Parte 1 de 3: Repaso,El Traductor de Ingeniería,UCa6V1UVOXN4wDm7RDQDoa6g,2022-06-19T19:00:12Z,"Les presentamos la tercera clase especial de la profesora María Inés Baragatti, organizada por Damián Pedraza del canal El ...",álgebra,3045713,88582,2347,2843.0,False,1600000
BygK11QxQnA,FACTORIZACIÓN POR FACTOR COMÚN Super facil  - Para principiantes,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2022-08-02T21:29:59Z,"Hola, aqui te dejo este vide en el que te explico como factorizar una expresion algebraica por medio de factor común Canal en ...",álgebra,2735029,64131,3149,398.0,False,9300000
_6uyQISZvBc,ÁLGEBRA desde cero. Lo más importante y básico resumido en una clase,Matemáticas con Juan,UCb40x1kRqrq7---i14VaA-A,2022-07-07T10:00:18Z,"Álgebra desde cero, en donde te muestro los ejercicios más importantes que tienes que saber hacer, empezando por el nivel ...",álgebra,2690568,117395,4047,4991.0,False,1790000
-TTtDlKkxIo,Te Muestro como Pienso la MATEMÁTICA,El Traductor de Ingeniería,UCa6V1UVOXN4wDm7RDQDoa6g,2020-04-17T18:20:58Z,"Algebra, Aritmética... fundamentos de las matemáticas que estudiamos todos. ¿Qué es realmente entender matemática?",álgebra,2646536,126263,5071,3858.0,False,1600000
Ft2_QtXAnh8,Ecuaciones lineales - Álgebra,The Organic Chemistry Tutor,UCEWpbFLzoYGPfuWUMFPSaoA,2021-02-10T02:12:26Z,Este videotutorial de álgebra ofrece una introducción básica a las ecuaciones lineales. Analiza las tres formas de una ...,álgebra,2542277,41685,1394,1925.0,False,9580000
GAN-jgzYsIo,Algebra 1 Full Course,GreeneMath.com,UCTy8D3wAtiJtSuA-2YOEfAw,2022-02-11T23:28:55Z,"http://www.greenemath.com/ In this course, we will explore all the topics of a typical algebra 1 course. We will cover variables and ...",álgebra,2456529,71096,951,96885.0,False,178000
rPIbsareOLs,Maths olympiad | A tricky maths problems | Algebra problem |,Rashel's Classroom,UCbeZGmb3seu3X5FK3bUoGog,2025-05-01T07:05:33Z,"Hello everyone ,Welcome to Rashel's classroom. In this video i solve a beautiful math olympiad question. Find the value of ...",álgebra,2478675,4483,685,435.0,False,49700
6kyG3pxeSM8,La DERIVADA lo cambio TODO 🚀| ¿QUÉ es la DERIVADA? ▶ SIGNIFICADO de la DERIVADA en 20 MINUTOS ⌚,BlueDot,UCr3bHzqSSdCneYASAcj-1-Q,2022-08-22T23:00:13Z,"La derivada es un concepto MUY IMPORTANTE dentro del Cálculo, pero ¿Qué hay más allá de calcular derivadas por formulas ...",cálculo diferencial,2529222,78655,2035,1378.0,False,206000
aVNa-J8iB5I,REGLAS DE DERIVACIÓN - Repaso en 7 minutos con ejemplos,IngE Darwin,UCCEiGea11PvLd44aPuG9FxQ,2020-05-05T13:57:53Z,Sigue a @IngE Darwin en: correo: ingedarwin1@gmail.com Facebook: https://www.facebook.com/IngEDarwinCC Instagram: ...,cálculo diferencial,2221640,66055,577,464.0,False,795000
MdKOjS8-oNw,ECUACIONES DIFERENCIALES desde cero,El Traductor de Ingeniería,UCa6V1UVOXN4wDm7RDQDoa6g,2020-01-10T20:00:13Z,En este video veremos el comienzo de un tema que ha revolucionado la forma en la que entendemos el mundo. Minutos clave ...,cálculo diferencial,1900622,65436,1850,5159.0,False,1600000
ZSYQ13iMbYA,Curso de cálculo diferencial desde cero - Parte 1,El Físico Gamer,UC3qgZW37GMFxRFizEfoHRog,2021-01-19T20:56:49Z,Curso de Cinemática desde CERO - https://youtu.be/CGboGnBEsZ0 Curso de Física desde CERO- FUNDAMENTOS ...,cálculo diferencial,1161223,42804,756,3214.0,False,195000
UprD3N4vU1U,CÁLCULO BÁSICO - LÍMITES,Profe Jeff,UCG6c0G2FOKEKGp-0l7c4xpA,2022-06-05T01:54:36Z,,cálculo diferencial,952720,58749,400,33.0,False,1740000
Ok329x84tLQ,Cómo encontrar el dominio de una función,Matemáticas con Juan,UCb40x1kRqrq7---i14VaA-A,2022-08-28T13:42:20Z,"Cómo encontrar el dominio de cualquier tipo de función: polinómica, fraccionaria, radical, etc. Se entiende por dominio de una ...",cálculo diferencial,741071,23676,411,1858.0,False,1790000
wZ-6v-aCTbU,APLICACIONES DEL CÁLCULO DIFERENCIAL. Minimizar,Matemáticas con Juan,UCb40x1kRqrq7---i14VaA-A,2022-10-12T17:00:13Z,Ejercicio de aplicación del cálculo diferencial. Se trata de un problema de minimizar-maximizar cierta función. En concreto ...,cálculo diferencial,574829,16118,922,1392.0,False,1790000
FHLsTqxW9uc,¿Por qué el CÁLCULO lo CAMBIO TODO?  🚀 🚀 | INTRODUCCIÓN al CALCULO en 10 MINUTOS ⌚⌚,BlueDot,UCr3bHzqSSdCneYASAcj-1-Q,2023-02-01T20:11:32Z,"En este video daremos una breve INTRODUCCION AL CALCULO, tomando en cuenta su desarrollo histórico desde los griegos ...",cálculo diferencial,551749,30558,763,726.0,False,206000
Ll_qHUG6OWs,¿QUÉ ES EL CÁLCULO DIFERENCIAL? Super facil - Para principiantes,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2021-10-06T16:30:02Z,"Hola, aqui les dejo este video en el que les explico que es el calculo difrencial.. ✉️ NEGOCIOS / CONTRATACIONES ...",cálculo diferencial,486195,15666,347,169.0,False,9300000
k-xdnEKxsTs,Cálculo Diferencial SEMI ZOOM Clase #6,Jonathan Guillermo Macías Chávez,UClO-Qc9-u_jzMZ-UIVT2uPg,2020-06-19T12:07:25Z,,cálculo diferencial,272778,1645,64,4434.0,False,1540
e1wWwdLFy2U,#Derivadas #Funciones Calculo Diferencial. Aprender a derivar #shorts,EMMANUEL ASESORÍAS,UCQ8-lO7WSmhX2tjvFKhHrQw,2021-12-05T06:05:02Z,,cálculo diferencial,259422,20500,169,55.0,False,796000
66GRtthl9Zg,QUÉ ES EL CÁLCULO DIFERENCIAL. Explicación Básica.,Matemáticas con Juan,UCb40x1kRqrq7---i14VaA-A,2024-02-05T22:24:27Z,Cálculo diferencial desde cero. Explicación de qué es. Más ejercicios sobre el tema: ...,cálculo diferencial,249445,8371,290,1211.0,False,1790000
rcU5vjxZ-98,CÁLCULO DIFERENCIAL DESDE CERO Parte 1 (RESUMEN),Algebraticos,UCQXEsk7fppYc4b-IPFu-P3Q,2023-02-13T19:22:28Z,cálculo diferencial desde cero calculo diferencial desde cero calculo desde cero calculo diferencial desde cero parte 1 resumen ...,cálculo diferencial,218549,8653,173,2262.0,False,412000
LdOcGyjLy2E,O que é CÁLCULO? O que é Cálculo Diferencial e Cálculo Integral? A história do Cálculo.,Engenharia Detalhada,UCAaD-P-PxAkKS5WX8EpWrKA,2021-03-01T13:00:13Z,A grande maioria dos calouros de engenharia entram para o primeiro semestre com um grande medo à sua frente. O CÁLCULO.,cálculo diferencial,209193,19492,239,439.0,False,417000
rvE1QRZuK0I,"ESTO es lo que NECESITAS SABER de CALCULO I ⌚▶FUNCIONES, LIMITES, DERIVADAS E INTEGRALES",BlueDot,UCr3bHzqSSdCneYASAcj-1-Q,2023-11-10T22:16:58Z,"En este video aprenderemos los conceptos básicos del Cálculo: Funciones, límites, derivadas e integrales #calculo #derivadas ...",cálculo diferencial,191831,8796,157,1213.0,False,206000
8mI2BknQ_NI,Curso de cálculo diferencial desde cero - Parte 2,El Físico Gamer,UC3qgZW37GMFxRFizEfoHRog,2021-01-21T16:45:51Z,Curso de Cinemática desde CERO - https://cutt.ly/zweIGITa Curso de Física desde CERO- FUNDAMENTOS ...,cálculo diferencial,183805,4798,64,3831.0,False,195000
S9kVuI8uB44,Cálculo Diferencial: COMO FAZER A DERIVADA DE FUNÇÕES NA PRÁTICA??? ✨👌 (Parte 01),k-Desperta P.G.V,UCSa6gN6h3NW8fgLvDqHOcDA,2022-11-02T12:01:53Z,"Nesta aula vamos ao Cálculo Diferencial, para montar como fazer ou achar a derivada de uma função na prática. No vídeo ...",cálculo diferencial,155650,6741,267,4038.0,False,108000
5LY_I84BHcc,Los mejores libros de cálculo diferencial e integral,Matemóvil,UCvTyXJuQyAqG2UxzI8jtc2g,2020-09-02T21:21:13Z,"El día de hoy revisamos los mejores libros de cálculo para que nunca tengas problemas con los límites, las derivadas y las ...",cálculo diferencial,143103,5980,397,827.0,False,2430000
5kF4YxZQFfw,"¿CÓMO APRENDER CÁLCULO DIFERENCIAL, INTEGRAL, VECTORIAL, etc? (TOP LIBROS - PARTE 01)",MateCiencias,UCPu7P-WzQC6gIJJPBZiDSXg,2022-09-22T05:37:02Z,"Hola !!!!!!!!!Hola !!!!!!!!! Muchas gracias a ti que ves los videos, das like y apoyas a las matemáticas con tu suscripción Bienvenido!",cálculo diferencial,138832,8569,241,632.0,False,77100
H6t1KUb5YI0,El Top DEFINITIVO de Libros de CÁLCULO Diferencial e Integral,Math Rocks,UC4nxWt8WxXUmCXpjSLyYtKA,2022-10-02T17:57:44Z,"TOP 13 MEJORES Libros de Cálculo Diferencial e Integral (y Análisis Matemático) Recomendados por un Matemático, Reseña, ...",cálculo diferencial,138606,7100,429,2219.0,False,393000
El_t2n3gQUk,LIBROS de CÁLCULO DIFERENCIAL e INTEGRAL 🔥TOP 7🔥 para SER un 🥇CRACK🏆(RESEÑA + LINK PDF😱),Math Rocks,UC4nxWt8WxXUmCXpjSLyYtKA,2020-03-09T01:40:22Z,"Más que un TOP de RECOMENDACIONES para SER un CRACK en CÁLCULO, es una RESEÑA de los MEJORES LIBROS ...",cálculo diferencial,136423,6553,1082,1355.0,False,393000
Wq_fl1zI01s,01 Introducción al Cálculo | Cálculo Diferencial (Nivel Medio Superior o Prepa),JG Walneko,UCY6fMU8D0e3XNVYo5iKjJYA,2020-09-10T23:00:08Z,Orígenes del Cálculo Diferencial e Integral. ¿Qué es una función continua?,cálculo diferencial,126657,6388,121,882.0,False,7310
jBaD1IItRcI,PARA QUÉ SIRVE EL CÁLCULO DIFERENCIAL. Problema de optimización-minimización de costos,Matemáticas con Juan,UCb40x1kRqrq7---i14VaA-A,2022-10-15T13:17:45Z,"Problema de minimizar costos en donde hay que aplicar técnicas de cálculo diferencial. En concreto, buscamos para qué valores ...",cálculo diferencial,121820,3745,180,658.0,False,1790000
JtB2w0QLRZ4,TABLA DE FRECUENCIAS super facil - Para principiantes,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2021-02-22T16:40:11Z,"Hola, aqui les dejo este video en el que les explico que son las tablas de frecuencia y como llenarlas de una manera super ...",estadística,7315524,164905,7539,290.0,False,9300000
HIhyn7p3mmg,La Estadística SECRETA de Mario Kart 8,Papita Noob,UCSeenY7G0q0Az9rB0j0jJpQ,2024-10-02T16:43:31Z,La Estadística SECRETA de Mario Kart 8 #papitanoob #shorts #mariokart.,estadística,3256505,276562,332,52.0,False,357000
VNMck8wco98,TABLA DE FRECUENCIAS AGRUPADA EN INTERVALOS Super facil para principiantes,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2021-02-23T16:00:07Z,"Hola, aquí les dejo este vídeo en el que explico como hacer un tabla de frecuencia agrupada en intervalos explicada de una ...",estadística,3092166,63478,2114,475.0,False,9300000
Nm7log51vFA,Tabla de frecuencias agrupada en intervalos | Ejemplo 1,Matemáticas profe Alex,UCanMxWvOoiwtjLYm08Bo8QQ,2021-06-08T16:36:46Z,"Explicación paso a paso de la forma de realizar una tabla de frecuencias para datos agrupados en intervalos, aclarando cómo ...",estadística,3049759,53759,903,2314.0,False,10000000
50bLw9WitvY,La probabilidad estadística del amor a primera vista | Tráiler oficial | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,2023-07-10T16:00:00Z,100 000 vuelos diarios en todo el mundo. 6 millones de pasajeros. Una conexión. Después de que pierde su vuelo de Nueva ...,estadística,2487857,5747,106,146.0,False,12500000
IHuZKvCh3Mc,Tabla de frecuencias simple | Ejemplo 1,Matemáticas profe Alex,UCanMxWvOoiwtjLYm08Bo8QQ,2021-06-03T20:09:56Z,"Explicación paso a paso de la forma de realizar una tabla de frecuencias simple, aclarando qué significa cada columna y como ...",estadística,2370698,45133,680,1609.0,False,10000000
jpinhs4NwdI,Observando la campana de Gauss de forma analógica: el Tablero de Galton,Picanúmeros,UCcXak98GXbREFkAp9hFijiw,2024-03-16T13:53:58Z,"En el año 1876 uno de los padres de la estadística, Sir Francis Galton, estaba interesado en visualizar de forma intuitiva cómo ...",estadística,2172824,59338,0,60.0,False,4510
rU9C3Fs16hc,Tabla de frecuencias para datos agrupados (con intervalos) | estadística,Academia Internet,UCJok4N-aJSFTl63LJ16o9VQ,2021-05-18T17:00:20Z,Hazte miembro haciendo clic aquí: https://www.youtube.com/channel/UCJok4N-aJSFTl63LJ16o9VQ/join Si el vídeo te gustó ...,estadística,1198146,20541,462,408.0,False,1420000
BoKvUi6jRJc,La estadística es impactante: cada vez nacen menos chicos y la tendencia es cada vez más marcada.,Santiago Bilinkis,UC5PwIMtLiIBCBhsu8f_-6UQ,2024-05-29T18:08:14Z,,estadística,1075937,79678,6150,60.0,False,345000
adKXtSnAMFE,¡Cómo maximizar las estadísticas de GTA 5 Online rápidamente! #shorts #gta5 #gta6,Kickstro,UCaj2E3jFtRC0Kp08wEvqsTQ,2025-02-03T17:15:59Z,"Las estadísticas en línea de Gta 5 son más importantes de lo que crees, por lo que es bueno hacer esto cuando empieces a jugar ...",estadística,1158980,77383,259,52.0,False,9020
UQopoRwYH3c,Tabla de frecuencias 🤗✌️ #shorts #ingedarwin,IngE Darwin,UCCEiGea11PvLd44aPuG9FxQ,2022-07-24T23:29:07Z,,estadística,1104341,46150,298,44.0,False,795000
Xf79KM86qoQ,Tabla de Frecuencias - Datos Agrupados,Las Mates Fáciles,UC3aKD0FKhDhIw36NwvgcXpQ,2021-05-05T21:57:27Z,Distribución de Frecuencias para Datos Agrupados - Ejemplo paso a paso! En este vídeo encontrarás lo siguiente: 00:49 Rango ...,estadística,865623,15040,310,776.0,False,41000
9G4HPNVA5w4,Tipos de gráficos estadísticos,Matemáticas profe Alex,UCanMxWvOoiwtjLYm08Bo8QQ,2021-08-04T21:28:45Z,"Tipos de gráficos estadísticos, veremos los gráficos estadísticos más usados y una breve explicación de sus carácterísticas y ...",estadística,855578,20235,244,1046.0,False,10000000
Ex6HchPwRvc,¡USO AL MEJOR JUGADOR DE CADA ESTADÍSTICA!,Choosey,UCv8imGJKZ09uxEb13zxaRoA,2024-04-28T17:15:00Z,Hola soy Choosey y en el dia de hoy voy ha jugar con el mejor jugador de cada estadistica de fc24 Espero que os guste! Tags: ...,estadística,701661,5951,228,779.0,False,583000
0_ybaigJd1s,¿QUÉ ES LA ESTADÍSTICA? Super facil -Para principiantes,Daniel Carreón,UCwScwtu5zVqc_wHtRx9XvDA,2021-09-08T16:45:00Z,"Hola, aqui te dejo este video en el que te explico que es la estadistica ideal para principiantes, no olvides darme like, comentar ...",estadística,690335,18985,566,192.0,False,9300000
Oe_94HGBL8A,Como crear una gráfica estadística en Word.,Jhon Rios,UCDKYjJXX9sML6tLFoML0QhQ,2020-04-26T13:24:22Z,Ayuda pedagógica Institución Educativa San Francisco de Paula.,estadística,521991,4655,106,496.0,False,964
guoQsGt4HeI,Calcular PROBABILIDAD de una Distribución Normal 🔔 Inferencia Estadística,Susi Profe,UC_Myy53yTBO7ElRGg3eYLCA,2022-06-07T16:03:42Z,En este directo aprenderemos cómo calcular la probabilidad de una variable que sigue una distribución normal. SERIE sobre ...,estadística,470172,8365,247,962.0,False,1840000
CWDYwZ_c1lI,"Conceptos básicos de estadística | Población, muestra, dato, individuo.",Matemáticas profe Alex,UCanMxWvOoiwtjLYm08Bo8QQ,2023-11-28T19:00:05Z,En este video te explico los conceptos básicos de estadística con muchos ejemplos para que comprendas los conceptos de: ...,estadística,429904,11840,189,1236.0,False,10000000
JkSPuvGUONI,Tabla de FRECUENCIAS #matemáticas #estadistica,Centro de Estudios Mayte Lopez,UCgTNhYTOJKBV0-u_7ofIB6w,2023-07-13T16:30:02Z,Otros temas de matemáticas que te pueden ayudar ◅▻ Serie sobre DERIVADAS ...,estadística,412094,12254,118,58.0,False,65800
fkB4j6hqsDU,TABLA DE FRECUENCIAS con INTERVALOS 📝 Estadística,Susi Profe,UC_Myy53yTBO7ElRGg3eYLCA,2020-07-05T17:00:24Z,Cómo completar una TABLA DE FRECUENCIAS con los datos organizados por INTERVALOS. En el vídeos haremos la marca de ...,estadística,326777,5976,147,436.0,False,1840000
7oMYLTvz69M,Button वाली Geometry Box,DEV Ke Facts,UC2lZDDm1-wTuadQ1qVCZ3dA,2023-06-17T15:06:34Z,,geometría,68656206,1413234,2240,38.0,False,22700000
Ow7nDnZTbDw,iSpyWithMyLittleEye by Voxicat,Nexus [GD],UCZwP1iUQiAKYQp5w-9mJb_w,2023-04-07T23:55:02Z,"Voxicat's Twitter: https://x.com/Voxicat A very unique level in all aspects, a flashy style with bright and powerful colors, impactful ...",geometría,41498988,259461,10440,121.0,False,2670000
kz6e-sjhOCk,YO TENGO UN MOCO - Geometry Dash #shorts,CiroXP,UC7Q-AgBGw9IIz2Vei8l0uXg,2023-06-08T14:00:35Z,YO TENGO UN MOCO - Geometry Dash #shorts #geometrydash #likesileesesto Yo tengo un moco lo saco poco a poco lo ...,geometría,38904830,1028778,11413,16.0,False,1550000
5rp4eEu5Qu8,Geometry Dash: Nivel Sincronizado 😎👌 #geometrydash #gd,Dasher,UCO10Rtyw8xVUBqRzHL1QTjQ,2022-12-16T16:25:05Z,"ESTE NIVEL ES INCREÍBLE! ✨ Si te ha gustado suscríbete y dale like! Literal que este nivel es increíble, si quieres jugarlo aquí ...",geometría,30707513,1618714,12654,38.0,False,910000
GYvZ1MojnnA,Geometry Dash: Polargeist Noot Noot #shorts,Lemoncak3,UCbAOw00ldX5Gnb47e9SYqZg,2022-07-08T21:00:06Z,Geometry Dash fr Links: Discord Server: https://discord.gg/uKcncxDqeG Level Request Form: ...,geometría,29980543,930254,4760,8.0,False,1250000
aGEiW4nelLA,Este nivel es DEMASIADO PERFECTO: Geometry Dash,CiroXP,UC7Q-AgBGw9IIz2Vei8l0uXg,2023-01-29T17:58:01Z,Este nivel es DEMASIADO PERFECTO: Geometry Dash #geometrydash #geometrydashchallenge #shorts #gd Este nivel es ...,geometría,28660400,1340705,11278,38.0,False,1550000
x547_g1lvfg,Si Geometry Dash hiciera buenos niveles 😈 (HUMOR),Theanze,UCQoL0dQTptOOLeC6ZYjrS-A,2022-09-07T23:46:55Z,geometrydash #shorts.,geometría,27972617,1553096,10618,44.0,False,486000
ceJL8-s9_hc,¿CÓMO SOBREVIVIR A LA ESCALERA INFERNAL? (Geometry Dash),GuitarHeroStyles,UCNd8lDD8JA7xtTle32P19IA,2022-10-08T20:59:50Z,geometrydash #guitarherostyles #shorts © 2025 GuitarHeroStyles.,geometría,25968226,1403585,538,31.0,False,4320000
kwDjD2s4yfQ,Geometry Dash: World&#39;s Hardest Jump Noot Noot #shorts,Lemoncak3,UCbAOw00ldX5Gnb47e9SYqZg,2022-07-20T01:50:09Z,Geometry Dash: World's Hardest Jump Noot Noot Links: Discord Server: https://discord.gg/uKcncxDqeG Level Request Form: ...,geometría,24646910,828390,3554,8.0,False,1250000
7dvUF7-EEQQ,¡LAS 3 COINS IMPOSIBLES DE GEOMETRY DASH!,StivenelvroClips,UCqSG1zP2DNlzxyie3kiRluw,2021-04-13T19:47:26Z,Stivenelvro #GeometryDash #Challenges #Short Deja tu like para mas contenido.,geometría,24109469,1291179,2298,28.0,False,430000
B1gSMcEcLLA,El mejor nivel de geometry dash #geometrydash,Castellum30,UCORLiFRlH-ZwCn9G7gK5QWQ,2024-11-06T19:36:18Z,,geometría,27909467,985491,3334,46.0,False,68400
mKJ3jwicQlo,¡EL NIVEL TROLL DE GEOMETRY DASH!,StivenelvroClips,UCqSG1zP2DNlzxyie3kiRluw,2021-04-08T16:37:51Z,pinche nivel troll🙂 #shorts #GeometryDash #stivenelvro.,geometría,20964961,1320774,4242,40.0,False,430000
VEJWE6cpqw0,Animation vs. Geometry,Alan Becker,UCbKWv2x9t6u8yZoB3KcPtnw,2024-06-29T12:00:06Z,Would you look at these desk mats: https://alanbecker.shop/collections/mouse-pad-collection Available until July 27th only!,geometría,20326277,555403,25170,542.0,False,31100000
yD-ej_BL1Ro,MI MAMÁ Y HERMANO REACCIONAN AL NIVEL MAS PERTURBADOR DE GEOMETRY DASH,Stivenelvro,UCCS9Cwcx0kloTq3eXV5VF0w,2023-10-22T16:50:59Z,Mi mamá y mi hermano 👩🏻🤴🏻 reaccionaron al nivel Peaceful de Geometry Dash y estas fueron sus reacciones... 📺🔥 #shorts ...,geometría,23683837,1241724,7626,56.0,False,2880000
8YPUTp8OHRo,Geometry Dash World&#39;s Fastest Spam 😱,KaiGuy,UCTz-gfx3ZXsWVL3I6I0t8HA,2023-03-24T00:12:53Z,geometrydash yessir 100m uploaded on thursday so gg ez luck worlds fastest spam world record geometry dash spamming spam ...,geometría,18803318,1030732,5996,60.0,False,1980000
MEglyRfe1j4,FULL VERSION! | Dash FULL - Geometry Dash,Neiro,UCCj0f5y47A94_dahjTbem-A,2024-01-31T21:25:05Z,"""Dash Full Version"" by Mathi & Switchstep 🆔ID: 100080980 ☆My Nickname in GD: Exen ☆My Discord Server: ...",geometría,15918826,79572,4041,231.0,False,506000
VNb4rCBrm-U,EL CREADOR DE GEOMETRY DASH OLVIDÓ AÑADIR ESTO,GuitarHeroStyles,UCNd8lDD8JA7xtTle32P19IA,2022-11-29T19:00:18Z,geometrydash #guitarherostyles #shorts © 2025 GuitarHeroStyles.,geometría,15115120,879018,1758,28.0,False,4320000
